,serial_number,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_tests_permillion,total_pop
81,74,Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722"
138,131,French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951"
82,75,Latvia,"978,760",,"6,397",,"971,406",,957,,"529,392","3,460","7,880,891","4,262,621"
139,132,DRC,"97,697",,"1,468",,"84,489",,"11,740",,"1,026",15,"846,704","8,890"
208,201,Niger,"9,931",,312,,"8,890",,729,1,381,12,"254,538","9,759"
209,202,St. Vincent Grenadines,"9,631",,124,,"9,493",,14,,"86,337","1,112","114,197","1,023,720"
210,203,Guinea-Bissau,"9,614",,177,,"8,929",,508,6,"4,659",86,"145,231","70,385"
211,204,Comoros,"9,109",,161,,"8,939",,9,,"10,038",177,,
212,205,Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","189,943"
237,230,MS Zaandam,9,,2,,7,,0,,,,,
140,133,Senegal,"89,014",,"1,971",,"87,024",,19,,"5,042",112,"1,146,543","64,946"
232,225,Niue,887,,,,887,,0,,"546,856",,,
141,134,Malawi,"88,908",,"2,686",,"85,651",,571,67,"4,406",133,"624,784","30,959"
142,135,Ivory Coast,"88,338",,835,,"87,497",,6,,"3,184",30,"1,690,934","60,951"
83,76,Saudi Arabia,"841,469",,"9,646",,"827,923",,"3,900",66,"23,475",269,"45,481,735","1,268,848"
84,77,Azerbaijan,"833,189",,"10,332",,"822,484",,373,,"80,891","1,003","7,688,073","746,400"
143,136,Suriname,"82,588",,"1,408",,N/A,N/A,N/A,,"138,378","2,359","242,207","405,822"
85,78,Paraguay,"815,869",,"20,028",,N/A,N/A,N/A,7,"111,673","2,741","2,657,506","363,751"
234,227,Tokelau,80,,,,,,80,,"58,055",,,
24,17,Netherlands,"8,618,815",,"22,992",,"8,594,420",,"1,403",53,"500,761","1,336","25,984,435","1,509,718"
213,206,Liberia,"8,090",,295,,"7,783",,12,2,"1,525",56,"139,824","26,356"
144,137,New Caledonia,"79,922",,314,,"79,605",,3,9,"274,726","1,079","98,964","340,182"
145,138,French Polynesia,"78,632",,649,,N/A,N/A,N/A,7,"276,713","2,284",,
146,139,Eswatini,"74,882",,"1,427",,"73,116",,339,,"63,201","1,204","1,048,704","885,119"
147,140,Guyana,"73,385",,"1,299",,"72,013",,73,,"92,419","1,636","733,218","923,396"
